
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005820                       # Number of seconds simulated (Second)
simTicks                                   5819618500                       # Number of ticks simulated (Tick)
finalTick                                  5819618500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     26.74                       # Real time elapsed on the host (Second)
hostTickRate                                217613689                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     750336                       # Number of bytes of host memory used (Byte)
simInsts                                      8560538                       # Number of instructions simulated (Count)
simOps                                       15647606                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   320104                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     585111                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         11639238                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.359639                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.735490                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        22842976                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   197686                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       21192439                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    234                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              7393050                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          11774210                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 787                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            11483156                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.845524                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.378564                       # Number of insts issued each cycle (Count)
system.cpu.branchPred.BTB.replace_map_442             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_443             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_444             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_445             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_446             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_447             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_448             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_449             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_450             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_451             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_452             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_453             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_454             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_455             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_456             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_457             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_458             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_459             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_460             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_461             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_462             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_463             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_464             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_465             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_466             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_467             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_468             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_469             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_470             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_471             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_472             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_473             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_474             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_475             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_476             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_477             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_478             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_479             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_480             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_481             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_482             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_483             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_484             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_485             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_486             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_487             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_488             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_489             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_490             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_491             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_492             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_493             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_494             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_495             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_496             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_497             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_498             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_499             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_500             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_501             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_502             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_503             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_504             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_505             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_506             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_507             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_508             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_509             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_510             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_511             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.hit_map_0                  0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_1                  0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_2                  0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_3                  0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_4                  0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_5                  0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_6                  0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_7                  0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_8                  0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_9                  0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_10                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_11                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_12                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_13                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_14                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_15                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_16                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_17                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_18                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_19                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_20                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_21                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_22                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_23                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_24                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_25                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_26                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_27                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_28                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_29                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_30                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_31                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_32                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_33                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_34                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_35                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_36                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_37                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_38                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_39                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_40                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_41                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_42                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_43                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_44                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_45                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_46                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_47                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_48                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_49                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_50                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_51                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_52                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_53                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
system.cpu.branchPred.BTB.hit_map_54                 0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of hits (Count)
