
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005810                       # Number of seconds simulated (Second)
simTicks                                   5809915500                       # Number of ticks simulated (Tick)
finalTick                                  5809915500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     28.07                       # Real time elapsed on the host (Second)
hostTickRate                                206948812                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     747456                       # Number of bytes of host memory used (Byte)
simInsts                                      8560509                       # Number of instructions simulated (Count)
simOps                                       15647543                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   304924                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     557363                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         11619832                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.357376                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.736715                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        24202455                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   197449                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       22036034                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1840                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              8752355                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          14553889                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 550                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            11458488                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.923119                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.493839                       # Number of insts issued each cycle (Count)
system.cpu.branchPred.BTB.replace_map_243             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_244             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_245             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_246             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_247             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_248             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_249             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_250             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_251             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_252             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_253             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_254             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_255             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_256             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_257             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_258             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_259             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_260             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_261             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_262             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_263             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_264             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_265             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_266             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_267             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_268             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_269             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_270             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_271             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_272             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_273             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_274             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_275             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_276             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_277             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_278             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_279             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_280             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_281             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_282             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_283             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_284             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_285             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_286             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_287             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_288             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_289             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_290             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_291             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_292             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_293             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_294             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_295             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_296             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_297             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_298             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_299             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_300             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_301             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_302             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_303             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_304             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_305             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_306             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_307             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_308             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_309             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_310             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_311             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_312             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_313             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_314             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_315             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_316             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_317             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_318             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_319             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_320             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_321             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_322             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_323             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_324             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_325             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_326             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_327             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_328             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_329             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_330             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_331             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_332             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_333             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_334             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_335             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_336             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_337             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_338             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_339             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_340             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_341             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_342             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_343             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_344             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_345             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_346             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_347             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_348             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_349             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_350             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_351             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_352             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_353             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_354             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_355             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_356             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_357             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_358             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_359             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_360             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_361             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_362             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_363             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_364             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_365             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
system.cpu.branchPred.BTB.replace_map_366             0                                   0                                   0                                   0                                   0                                   0                                   0                                   0                       # Distribution of replaces (Count)
